,name,acronym,SJ0612,SJ0613,SJ0602,SJ0601,SJ0603,SJ0604,SJ0605,SJ0608,SJ0606,SJ0610,SJ0619,SJ0615,SJ0511,SJ0512,SJ0514,SJ0517,SJ0519,SJ0516,SJ0513,SJ0520,SJ0518,SJ0503,SJ0502
1039,"right Prelimbic area, layer 6a",PL6a-R,357.7586206896552,762.9310344827586,4224.137931034483,0.0,1262.9310344827586,168.10344827586206,689.655172413793,1034.4827586206895,163.79310344827584,21.551724137931032,1909.4827586206893,547.4137931034483,17047.413793103446,6633.620689655172,9612.06896551724,5185.344827586207,6883.620689655172,20280.1724137931,14107.758620689654,9797.413793103447,5060.344827586207,15193.96551724138,11918.103448275862
1040,"right Prelimbic area, layer 6b",PL6b-R,93.2944606413994,0.0,1959.183673469388,0.0,653.0612244897959,279.8833819241982,186.5889212827988,186.5889212827988,93.2944606413994,0.0,93.2944606413994,186.5889212827988,1399.4169096209912,3172.01166180758,2425.655976676385,2052.478134110787,839.6501457725947,6623.906705539358,279.8833819241982,3358.6005830903787,653.0612244897959,10728.862973760932,653.0612244897959
1041,right Infralimbic area,ILA-R,788.8987304399174,1941.541186891054,5288.455860643638,4.7239444936522,2019.4862710363157,692.0578683200472,519.633894301742,1114.850900501919,132.2704458222616,191.3197519929141,3616.179509890759,1277.82698553292,17412.459403602006,8333.03808680248,4534.986713906112,11356.362562739889,8588.131089459699,8281.074697372305,11202.834366696192,11875.99645704163,3956.303513433717,7690.581635665781,2832.004723944493
1042,"right Infralimbic area, layer 1",ILA1-R,207.7922077922078,753.2467532467532,454.54545454545456,0.0,2727.2727272727275,2766.2337662337663,961.038961038961,1909.090909090909,584.4155844155845,233.76623376623377,545.4545454545455,1025.974025974026,8051.948051948052,3597.4025974025976,987.0129870129872,12064.935064935064,2636.3636363636365,3207.792207792208,5935.064935064936,8584.415584415585,519.4805194805194,2259.74025974026,597.4025974025974
1043,"right Infralimbic area, layer 2/3",ILA2/3-R,866.9434127157526,1258.4662442648023,2600.830238147258,27.96591653921783,307.6250819313961,167.79549923530698,69.91479134804457,237.71029058335156,27.96591653921783,69.91479134804457,4236.836355691501,1076.6877867598864,19296.4824120603,8417.740878304567,5117.762726676862,19632.07341053092,9564.343456412498,1300.415119073629,13171.946689971595,12081.275944942105,3160.1485689316146,3146.1656106620057,950.841162333406
1044,"right Infralimbic area, layer 5",ILA5-R,1365.908452681831,3151.1747636431714,8357.20303285594,0.0,2731.816905363662,251.6147149677057,748.853318356267,1665.4497800243378,35.944959281100815,335.4862866236076,5625.386127492277,1953.009454273144,23663.76486005804,11574.276888514463,5331.835626696621,12898.249555368342,11124.964897500702,9890.854628849576,16151.268370307966,14623.607600861182,5140.1291771974165,9309.744453805111,2641.95450716091
1045,"right Infralimbic area, layer 6a",ILA6a-R,273.2123799359658,1444.1225796615338,6078.97545357524,0.0,1629.516694618082,214.66686994968745,156.12135996340905,292.727549931392,9.757584997713066,19.51516999542613,2390.608324439701,575.6975148650708,13836.255526757128,6869.339838389999,5708.187223662144,3132.184784265894,8694.008232962342,14694.923006555877,6274.127153529501,10304.009757584998,5327.641408751334,12684.860497026986,6264.369568531788
1046,"right Infralimbic area, layer 6b",ILA6b-R,0.0,0.0,0.0,0.0,0.0,733.5243553008596,0.0,0.0,366.7621776504298,0.0,366.7621776504298,0.0,733.5243553008596,2383.954154727794,550.1432664756447,183.3810888252149,183.3810888252149,1650.429799426934,916.9054441260746,1100.2865329512897,916.9054441260746,550.1432664756447,366.7621776504298
1047,right Orbital area,ORB-R,1072.4366397521112,1021.6744131939488,3285.3313028442712,14.213423436285474,1684.967506887271,806.4425725873401,1852.821269372928,495.43933120766513,321.1556866913075,88.66468905492367,3277.5477614386864,520.8204444867463,32474.2884034751,15295.335691661776,21501.18709581899,13422.209531665583,8928.737236737046,23524.569446427344,17568.12978209257,16593.83344701957,7791.324946990488,12266.522840358086,6398.747865078232
1048,"right Orbital area, lateral part",ORBl-R,316.080165923753,1675.7382346537715,2368.767832792859,0.0,1338.390493760671,829.4354238045582,1511.464552131914,379.14952617768046,285.27885045090466,112.93815673377716,1172.6500819305825,280.87866252621205,28208.87142055025,13549.645349436798,21080.56698254821,10984.335789341005,7564.656407200724,19831.646976589625,17120.397850324858,14542.621091109098,5885.98471393049,7736.263736263736,5124.752202958668
1049,"right Orbital area, lateral part, layer 1",ORBl1-R,437.8806841885691,881.1013767209012,2023.8631622861917,0.0,2557.863996662495,2392.323738005841,2547.1839799749687,496.6207759699625,170.8802670004172,443.2206925323321,1655.4025865665417,432.540675844806,39526.741760534,8426.533166458074,8378.473091364205,18177.388402169378,4336.086775135586,13547.601168126826,9035.29411764706,3102.544847726325,1591.322486441385,8875.093867334168,7983.312473925741
1050,"right Orbital area, lateral part, layer 2/3",ORBl2/3-R,473.21563301644784,1558.0705195915698,3170.8666566068105,0.0,1960.4647653538557,595.5434837281827,1760.877219455762,405.6133997283839,241.43654745737132,35.41069362708113,1403.551129218852,383.0793219656959,40361.75242694029,21217.4437905538,36109.25003772446,13694.280971782104,11118.957798903475,24439.816910618178,24146.873899703234,18815.954931844477,9341.984809617225,10478.346159649916,5546.602283587345
1051,"right Orbital area, lateral part, layer 5",ORBl5-R,297.9669960167607,2252.9615643267293,2843.929439759971,0.0,1090.8902798613626,600.9001086338006,1373.9589260772852,317.831462417878,235.0628524132223,57.938027003259016,1127.3084682634112,190.3678030107082,27808.597589364235,15118.514303450416,23347.36951011329,9965.34064456055,8536.754435880193,23008.0182090942,20359.42268894522,17540.323832186645,6359.939992757747,7197.558326004863,4999.224044281206
1052,"right Orbital area, lateral part, layer 6a",ORBl6a-R,87.92359021326705,1126.2593222556588,565.223079942431,0.0,326.57333507784904,527.5415412796023,858.3017139866545,439.6179510663352,506.6073531335863,66.98940206725108,686.6413711893235,221.9023943477692,6627.7639670286535,4735.31335862881,7645.16551092503,5112.128745257098,3521.1304461598847,12263.247415936152,7494.439356273715,11086.746042130057,4015.1772864058617,5254.481224650007,3140.128221902394
