name,1sn_GFP_SJ0503,1sn_GFP_SJ0510,1sn_GFP_SJ0514,1sn_GFP_SJ0516,1sn_GFP_SJ0519,1sn_GFP_SJ0520,cTBS_1sn_ChR_SJ0502,cTBS_1sn_ChR_SJ0511,cTBS_1sn_ChR_SJ0512,cTBS_1sn_ChR_SJ0517,cTBS_30sn_ChR_new_SJ0904,cTBS_30sn_ChR_new_SJ0908,cTBS_30sn_ChR_new_SJ0912,cTBS_30sn_ChR_new_SJ0914,cTBS_30sn_ChR_new_SJ0916,cTBS_30sn_ChR_new_SJ0920,cTBS_30sn_GFP_new_SJ0902,cTBS_30sn_GFP_new_SJ0906,cTBS_30sn_GFP_new_SJ0910,cTBS_30sn_GFP_new_SJ0918,iTBS_1sn_ChR_SJ0507,iTBS_1sn_ChR_SJ0508,iTBS_1sn_ChR_SJ0513,iTBS_1sn_ChR_SJ0518,iTBS_30sn_ChR_SJ0602,iTBS_30sn_ChR_SJ0603,iTBS_30sn_ChR_SJ0605,iTBS_30sn_ChR_SJ0612,iTBS_30sn_ChR_SJ0619,iTBS_30sn_ChR_new_SJ0903,iTBS_30sn_ChR_new_SJ0905,iTBS_30sn_ChR_new_SJ0909,iTBS_30sn_ChR_new_SJ0913,iTBS_30sn_ChR_new_SJ0917,iTBS_30sn_ChR_new_SJ0919,iTBS_30sn_GFP_new_SJ0901,iTBS_30sn_GFP_new_SJ0907,iTBS_30sn_GFP_new_SJ0911,iTBS_30sn_GFP_new_SJ0915,iTBS_30sn_YFP_SJ0601,iTBS_30sn_YFP_SJ0604,iTBS_30sn_YFP_SJ0606,iTBS_30sn_YFP_SJ0610,iTBS_30sn_YFP_SJ0613,iTBS_30sn_YFP_SJ0615
right Principal sensory nucleus of the trigeminal,-1.3311179234782626,-0.5572020541019939,1.0766203368034624,0.7899848296270668,-0.7422122450976675,0.7639270562473945,-1.5838783252610846,-1.143501955144622,0.31052179944109554,-1.4040796889413454,-0.5031793612874135,-0.051657196786160264,-0.3309887053335458,-0.051657196786160264,-0.4457824759694576,-0.06313657384975144,-0.3386416233759399,1.4904057887562554,-0.5567497875841724,-0.5950143777961431,-0.9663090961628498,-1.5812725479231171,-0.09858524261976036,-0.7135486943800279,0.19482290711974523,-0.28238376425221495,0.9960047498818436,3.0711970639213773,2.322551735438761,-0.7240137455410152,-0.9861938273092922,-1.0120668616943196,-1.037939896079347,-0.8861514276871864,-1.0776118821363887,1.0732997097388841,-0.9378974964572411,-0.7602359936800533,0.6248337803984104,-0.6676515356350818,-0.5669565499327417,-0.17293269283662768,-0.5056639499400128,-0.07223770713428752,1.9854424354787519
right Prosubiculum,-1.2021565947790085,-0.23322964917571484,1.2362408334328554,-1.0430051900969357,0.858565479316848,0.38358512130195677,0.12300561933545362,1.6823595377489249,1.6930795805513446,1.0127691719362657,-0.4773600472433998,0.8060227871940959,-0.18066027988833158,-1.4925318507697567,-0.9255365108125306,-0.9526355527957804,-0.6017377014742131,1.4084553358986487,-0.8088021761154546,0.002084541691019384,0.1980459189523897,-2.12325565710997,0.7818759423456938,0.2813324053404177,2.305061559361025,0.6803485659788048,4.686281540286842,6.615628219928229,5.823580635654397,-0.2965819707163888,-0.8189340927843232,-0.8488639999066535,-0.4054331971780486,-0.4056004033630895,-0.976609525277941,1.3412026117597375,-0.651727907743371,-0.8637453503752983,0.17427064635893233,-1.1982258326193878,0.11677624639934699,-0.5077228104319439,-0.588958460101055,1.6247129933822202,0.5534178633708188
right Pyramus (VIII),-1.3131436630525577,1.5733518543486864,-0.13070923097666015,-0.3860763396440238,0.6765412973699354,-0.41996391804538036,-0.43085635396010186,-1.3131436630525577,3.0958723410953386,-0.2626287326105116,2.1757870787583102,-0.1741965965665241,-0.5068405083661605,2.482659439285091,-0.5373845691339894,-0.26391977507202136,1.457047148815337,-0.5335665615380107,-0.17371934561702668,-0.7497612416602996,-0.7358445595723089,-1.3131436630525577,1.0505149304420458,0.38244552767244977,-0.4106914140240833,-0.28032818197043524,-0.43903124707922425,1.0289721051770737,-0.6048192704517985,-0.4556366571348621,-0.8263119549141283,-0.7727181860379191,-0.8325854730100056,0.18049807778709895,-0.756944769111142,0.8463872128209355,-0.8825943744028564,-0.8490758634334546,0.8852830250153749,-0.6246571535903971,1.86499718030373,-0.4333632804681961,-0.6345760951596964,0.42675065275532986,-0.5991513038407702
right Red nucleus,-1.3147837389795594,-1.0454952795308885,0.9852295903058315,0.1277785182936328,0.16897278687784872,1.0782981230331343,-1.2468894814981666,-0.19262134847249124,1.5093122295161356,-0.3589241364606224,0.9534155601991205,0.9534155601991205,0.6153361403439226,0.015008198544974004,-0.3483481872807056,-0.07662080309802348,-0.5821601225076647,1.44315677587721,-0.7527796428084185,-0.10821701056112608,-1.1385638122581911,-1.3971722761479914,-0.4695383761774986,-0.6297383095605606,0.5729798700887119,-0.05208907909897378,2.0504155681686966,0.6582165449779419,6.752638799557878,-0.23505581726004657,-0.3651613766394252,-0.43957426851468134,-0.34597314665901324,-0.35720528128169343,-0.5977601644507604,1.49750094828837,-0.5261553062311743,-0.5523636203507614,-0.4189820217064344,-0.8334252655835808,-0.5493030159528146,-0.478272453545123,-0.32200521624820166,1.8941483308717746,0.28885762045794555
right Reticular nucleus of the thalamus,-1.184965425710514,-1.0269700356157787,-0.28187813914628895,1.222668871074031,0.3536942255529868,0.9174505038455644,-1.454275749735631,0.6014597236560942,0.20826665057942362,0.1759494116964098,1.087494921765945,-0.3140498461424327,-0.5632133604372555,0.5725569922233116,0.33585165364322983,-0.4926170313870557,1.4633165558273027,-0.2870571320938269,-0.7936896111599664,-0.38256981257350897,-0.8348620044778622,-1.4883883907788122,-0.08079309720753518,-0.3572850298733216,-0.33767778074596416,-0.34910296881631636,0.3935342557565748,-0.17010835571413235,1.8331079526209484,-0.3520514979296492,-1.1712697454929277,-1.1969750929608072,-0.46269625442182455,0.4224617975155788,-1.0069790464590918,0.4235794213185299,-0.8940990423610136,-0.7421022051596413,1.2126218262021242,-0.6042655023875149,2.00067737765278,-0.5204807898715988,-0.5509479580592047,-0.11298241536237144,-0.21200071197209028
right Retrochiasmatic area,-0.7796804234991579,-1.0971973380463262,1.0830854751775636,1.3582668011184427,-0.20814997731425477,-0.35632453743626674,-0.9807744693790311,0.5115550289926603,0.9666626065102681,-0.9807744693790311,-0.5675898345683418,3.229390438061255,-0.8285506780480394,1.4287606180513435,0.9198869732659332,-1.6636253771830705,0.22834073804473523,1.23303998544157,-0.30662899108864455,-1.1547517323976606,-1.1183651323494708,-1.1077812351978986,0.6279778976599554,-0.01763982858595386,-0.46025781658615644,-1.0605940990898388,1.5808855439263643,25.834471357075135,5.423037751949931,1.0912137241424882,1.110743276252421,-0.08055940245347244,0.6322692495590703,0.9545068593729594,-0.5687982052017893,-0.9203301431805775,1.0228602917577239,0.6908579058888688,-0.793388054466015,-1.0605940990898388,-0.2201233035846835,-0.8204595860883659,1.7009528004271002,0.5002802354197353,-0.10005604708394705
right Retrohippocampal region,-1.4530878512179775,-0.49087732769636294,1.3957804814942105,0.5814804493343135,-0.44132315000208855,0.40802739808790495,-1.433105028342888,1.1391731027998488,0.4083228430497679,0.7523819304555421,-0.47888309772529614,0.21717576322641952,-0.3061832500034577,-0.9821503787516336,-0.8918488953714586,-0.625202111473512,-0.2888743061937601,1.4807564892182858,-0.6784646813316492,-0.5134175016928761,-0.6158505465643622,-1.9381547613310375,0.29992140067898676,-0.46111796244690173,4.893688796968982,4.083724260288299,16.28783277527464,14.567806043752054,9.27870088614162,-0.4414717236113487,-0.667588832181489,-0.8432518424380778,-0.5547790459950195,-0.5248614088738399,-0.8400636828586435,1.4157196095493831,-0.6617296888065535,-0.746860750759249,-0.007129169983580952,-1.4987864182625852,1.3966990512999968,0.22996442108139228,-0.7430031827884319,0.24144351032006403,0.3736826183495634
right Retroparafascicular nucleus,-1.0132031180774212,-1.3653529822872568,0.13591749144941032,0.24712271172620004,0.858751423248546,1.1367644739405214,-1.4024213890461867,2.990184811887023,1.4518459313914267,-1.3468187789077917,-0.1472682167181066,-0.6347767961987363,-1.1425982331577254,-1.1832239481144444,-1.0004082308092084,-1.4269782378547593,-0.553525366285298,1.4980732390290181,-0.4316482214151408,-0.512899651328579,-1.3468187789077917,-1.4024213890461867,-0.5127796268318656,-0.8278610842827709,-0.22869467687317405,0.9605176428673315,0.32017254762244385,1.6008627381122191,3.88780950684396,0.8611215000158621,-0.7969022695062044,-0.9253407305255194,-0.21309108305477253,-0.423263110177288,-0.9136645067964908,1.4449326864672938,-0.23644353051282974,-0.8552833881513475,-0.35320576780311624,-0.5946061598702527,-0.503128289120983,-0.5946061598702527,-0.5946061598702527,0.41165041837171334,1.875296350360028
right Retrosplenial area,-1.0948228619141904,-1.3466759096215875,1.0262289393587636,0.6189499591983854,0.05572794509872792,0.7405919278799004,-1.3714475332032887,1.4475189074097856,0.4659125431344947,-0.41328310297350446,-0.8308388465239734,0.3354160860158588,-0.4002547453939088,-0.9594031613998466,-0.9576470886110457,-0.8520106536678265,-0.39491232676882426,1.4954134634068659,-0.5168480852024633,-0.5836530514355787,-1.4123477983814259,-1.676488162358474,-0.22333449034006067,-1.1568996641502431,3.3586725547335234,0.5614423390723224,3.1671807276147548,-0.7587831861429252,2.362304721199218,-0.1992356193061262,-0.2898388837591583,-0.699418735642227,-0.42690163415511523,-0.3734659584564228,-0.5968978136897585,1.4471645413599123,-0.6233201323897283,-0.7101058707819655,-0.11373853818821847,-1.0048234819429351,-0.5058766495298915,0.7109738056670577,-0.7656494269559486,1.6245652916221336,-0.05918953886041585
"right Retrosplenial area, dorsal part",-1.1346489248316065,-1.1437980417555138,1.3432171054432802,0.3877284853965025,-0.11345301051312985,0.6609543862604668,-1.2245360281164896,0.8591456463783577,0.6844212770717873,-0.6841440311043968,-1.0647971932548956,0.3612431700565921,-0.259227108526802,-1.0513261216039242,-0.9346739227668631,-0.8095021813181066,-0.26286793870274033,1.4764294529464725,-0.52107561478028,-0.6924858994634518,-1.3686643245931098,-1.4343716188648088,-0.4147797705005236,-1.0233742754908357,2.899372231146423,0.5643577368351473,2.576524567945829,-0.6202512599215554,1.5429115066912127,-0.20638978203596192,-0.304958915699904,-0.7044489438317189,-0.37612066543603234,-0.5137422759322283,-0.5831986773350704,1.4319870859901804,-0.6662491411661081,-0.7087123146649343,-0.057025630159138016,-0.8379857304521888,-0.6144116381065575,0.3624736683737939,-0.6586259175629697,1.8298872073139634,-0.08133758956604129
"right Retrosplenial area, dorsal part, layer 1",-0.9819810048492925,-1.050813682781289,1.6231446529936302,-0.07568407874467212,-0.05178384335161772,0.537117956733241,-1.0259574379725125,-0.03457567386861866,0.7589121411807853,-0.9169723645801847,-1.3399431306630636,0.32741026303570714,-0.7043385568239932,-1.456716994228846,-0.6082587956622733,-1.1876936629760304,-0.0539524812677351,1.412372489077283,-0.8787602770868077,-0.4796597307227402,-1.056549739275622,-1.017353353231013,-0.3385866680682698,-0.7888671028734136,5.396215509081604,-1.0273702691522517,4.877487182440915,-1.1397614065910677,1.8429264715928897,-0.6572345361903207,-0.46963679956512644,-0.8127093727084611,-0.021201114070655492,-1.1287987097618704,-0.354636817181874,1.335670186451297,-0.6906423523016567,-0.8377652347919631,0.19273740064232284,-1.105179518148355,-0.4827055261795293,-1.0792431018163207,0.8832790673076163,0.9610883163037196,0.8227607625328694
"right Retrosplenial area, dorsal part, layer 2/3",-0.9503691967461154,-0.9257313126267489,1.7524260910571465,0.35815464880606684,-0.1980407352114434,-0.036439495278905575,-0.9181653482121404,0.5288738458536458,0.9265719753394829,-0.6137807798398092,-1.3542616878025884,-0.0905251220193424,-0.2867198818842534,-1.085177838864359,-1.2985689521835648,-0.8575215687023857,-0.007279138251960469,1.405557628504321,-0.8520500016942006,-0.5462284885581595,-0.9464892149950341,-0.954831175759859,-0.1988167315616597,-0.7348362104735469,7.100833475963446,-0.37251408360178545,3.6824689440882388,-0.407112914896069,3.4471968912871116,-0.03498166284804738,0.10116075199651117,-0.4790888519736792,-0.15625743411262444,-0.3975475644592346,-0.25834172002849803,1.4354645385174036,-0.6422615278727498,-0.7224513023344687,-0.07075170831018489,-0.7669407603566171,-0.7254221628034767,0.11878932077704016,-0.8084593579097572,1.7380146253495068,0.44401833494330467
"right Retrosplenial area, dorsal part, layer 5",-1.160734581582293,-1.1480734764172993,1.0744169418083187,0.22039207973169592,-0.048689723722221225,1.062688760181798,-1.2071142089235327,0.624747796264229,0.5415843265489025,-0.6205718528063018,-0.9038353936305606,0.9736738802909325,-0.09104470315682552,-0.988464359233032,-0.4464079985338694,-0.6107684201553358,-0.3480660060976643,1.426399666187487,-0.17665317067599204,-0.901680489413831,-1.397030786398437,-1.462868533256404,-0.4814329707825823,-1.0610450377568694,1.8411975667682263,-0.015519672976590449,2.193917407145282,-0.6109107635330593,1.5054082787292709,-0.17199475791404625,-0.44626791713417613,-0.799011442334615,-0.4866798685973346,-0.526115963278002,-0.7111269285702745,1.426401248466136,-0.6703131537260902,-0.7173264893061,-0.03876160543394566,-0.7322463886227663,-0.6617024205473552,0.41056589419889195,-0.8422949788204074,1.7734753574158326,0.05220253637580403
"right Retrosplenial area, dorsal part, layer 6a",-1.1432055610676555,-1.2436923465697727,0.9866832490656977,0.8080700083474567,-0.1189407930273053,0.7110854432515793,-1.4853455546003342,1.837992209351733,0.49017615608874693,-0.7013869867419914,-0.6844761710251812,0.06441755341590762,-0.3446180443826364,-0.8780461591222423,-1.0735201143153401,-0.8551985539698022,-0.5451692451651653,1.4968354653341587,-0.407131630702507,-0.5445345894664861,-1.7011362119386615,-1.8614301459165703,-0.5122670848050304,-1.2121723629136127,1.7001917339947623,1.238429954058518,1.7652925751005275,-0.495069187013613,0.8690205301095222,-0.36714501742750705,-0.46686922459551655,-0.765289210573749,-0.4703501639023244,-0.5237872862338616,-0.7396055232559502,1.4468006791822974,-0.6795828400736955,-0.6580386481477764,-0.1091791909608256,-0.7463887131428477,-0.5041530253074408,0.5934774351967469,-0.707025413869594,1.7789183325412696,-0.4148286154181344
"right Retrosplenial area, dorsal part, layer 6b",-1.3849251719765296,-0.95023296485122,0.971232588383844,0.6688380095140634,-0.17534685649740736,0.8704343954272504,-1.479423477873336,1.6453205037810632,0.4231424141823667,-0.8368349977750523,-0.17374105159452677,0.33066845303474446,-0.7341960567381615,-0.969587158898488,-1.3170692620875415,-1.261023761573178,-0.4651776542692168,1.451578463322014,-0.18495015169739945,-0.8014506573553977,-1.6180209931886522,-1.7125192990854585,-0.5596399671444201,-0.9565328519110071,3.313566514571365,2.44625715840839,3.246850410251136,-0.6226836403221357,2.045960532487017,-0.4272881171701149,-0.456346350795285,-0.7390037142401215,-0.511821160443337,-0.4906878996250315,-0.7125871382172395,1.4297971772384834,-0.6439040405577465,-0.7337203990355451,-0.05217273764519177,-0.8895480576030511,-0.555967536001907,0.3113418201610678,-0.6226836403221357,1.8458122195263307,-0.08895480576030515
"right Retrosplenial area, lateral agranular part",-1.0426445571653131,-1.321815034031222,1.0204680029417907,0.995634882326908,-0.016054901234737566,0.36441160716257487,-1.4265761521600513,1.9302842405391285,0.5953018774376898,-0.7665926582370868,-0.7815907610666505,0.4342170894814724,-0.31731248846723004,-1.0427174668015249,-0.8758301843332338,-0.9335667423851659,-0.49422016530817064,1.4967367642098997,-0.4206179828328769,-0.5818986160688521,-1.35831394619077,-1.7749328580878883,-0.1436855909065741,-1.1701597439505693,3.270603073163277,0.4595344796301821,3.071400219667775,-0.7220034754375603,0.8656347174429008,-0.4099331083365886,-0.32909301681346886,-0.7692828613283018,-0.29477484334475984,-0.6213221745838229,-0.7016958809635399,1.3892253131962253,-0.7331380127145993,-0.7263754281352613,0.07028812765363575,-0.8109180538218188,-0.5065566124295494,1.4008320834866106,-0.855375343013948,1.125538869643041,-0.3535209438643353
"right Retrosplenial area, lateral agranular part, layer 1",-1.2821890354892087,-1.2280438093571133,0.8971563163276403,0.22936519403179412,0.5632607551797173,0.8204505793071716,-1.2821890354892087,3.5457602946226516,2.4944404872244617,-0.26245394333474126,-0.9466900704449023,-0.281863272301879,-0.5698137326440802,-0.6883815692555748,-0.5909865606104184,-0.8725851725627182,-0.7931870676889494,1.3611481778859749,-0.7063784730269623,0.13841736282993664,-1.2009711962910654,-1.1603622766919939,-0.438425928264052,-1.0249992113617548,21.428645429096566,-1.0644349896503538,14.10058303022879,-1.904108806187286,1.7344777321394211,-0.7471315772911779,-0.08353168366475651,-0.384152673344047,0.07748203526563753,-0.6587136391502102,-0.06584809603656297,1.4819311789995366,-0.5842564280841319,-0.2761897172982336,-0.621485033617171,-1.8786641450801065,-0.07209320647034269,0.3350213712445339,0.4368000156732528,1.0729165433527474,0.10601942127991552
